urun_adi,fiyat
"Lenovo Ideapad Slım 3 83K1004ETR I5-13420H 24 GB Ram 512GB SSD Freedos K19 - 512 GBEn Ucuz31.702,60 TLTEK FİYAT",31702.6
"Lenovo Nb E16 Thinkpad 21SR006UTX Ultra 7 255H 16 GB Ram 512 GB SSD Freedos K7En Ucuz63.997,78 TLTEK FİYAT",63997.78
"Lenovo Ideapad Slım 3 83K10012TR I5-13420H 8 GB Ram 512GB SSD Freedos K1 - 512 GBEn Ucuz25.184,31 TLTEK FİYAT",25184.31
"Lenovo V14 G4 83A000GDTR I7-13620H 48GB Ram 1tb SSD 14"" Fhd Windows 11 Pro K34 - 1 TB - 48 GBEn Ucuz60.975,66 TLTEK FİYAT",60975.66
"Lenovo Ideapad Slım 3 83K1004ETR I5-13420H 24 GB Ram 2tb SSD Freedos K23 - 2 TBEn Ucuz41.776,33 TLTEK FİYAT",41776.33
"Lenovo Thinkpad E16 21SR0076TX Ultra 7 265U 8gb Ram 1tb SSD Freedos K3 - 1 TB - 8 GBEn Ucuz55.109,20 TLTEK FİYAT",55109.2
"Lenovo Ideapad Slım 3 83K20008TR I5-13420H 24 GB Ram 1tb SSD Windows 11 Pro K22 - 1 TBEn Ucuz41.183,75 TLTEK FİYAT",41183.75
"Lenovo Ideapad Slım 3 83K10012TR I5-13420H 24 GB Ram 1tb SSD Windows 11 Pro K22 - 1 TBEn Ucuz41.183,75 TLTEK FİYAT",41183.75
"Lenovo Nb E16 Thinkpad 21SR006WTX Ultra 7 255H 16 GB Ram 2 Tb SSD Freedos K11En Ucuz68.442,07 TLTEK FİYAT",68442.07
"Lenovo V15 83A100QRTR ATL16 i7-13620H 16 GB 1 TB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz32.004,72 TLTEK FİYAT",32004.72
"Lenovo V15 83A100QRTR ATL8 i7-13620H 24 GB 2 TB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz36.795,83 TLTEK FİYAT",36795.83
"Lenovo V15 83A100QRTR ATL6 i7-13620H 24 GB 512 GB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz31.623,46 TLTEK FİYAT",31623.46
"Lenovo V15 83A100QRTR ATL13 i7-13620H 8 GB 1 TB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz31.124,88 TLTEK FİYAT",31124.88
"Lenovo V15 83A100QRTR ATL21 i7-13620H 40 GB 512 GB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz39.523,36 TLTEK FİYAT",39523.36
"Lenovo V15 G4 IRU 83A100QRTR ATL2 i7-13620H 8 GB 1 TB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz28.983,91 TLTEK FİYAT",28983.91
"Lenovo V15 83A100QRTR ATL1 i7-13620H 8 GB 512 GB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz27.224,22 TLTEK FİYAT",27224.22
"Lenovo V15 83A100QRTR ATL20 i7-13620H 24 GB 2 TB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz38.056,94 TLTEK FİYAT",38056.94
"Lenovo V15 83A100QRTR ATL14 i7-13620H 8 GB 2 TB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz34.937,55 TLTEK FİYAT",34937.55
"Lenovo V15 83A100QRTR ATL12 i7-13620H 8 GB 512 GB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz29.365,18 TLTEK FİYAT",29365.18
"Lenovo V15 83A100QRTR ATL7 i7-13620H 24 GB 1 TB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz33.383,15 TLTEK FİYAT",33383.15
"Lenovo V15 83A100QRTR ATL3 i7-13620H 8 GB 2 TB M.2 SSD 15.6"" Free Dos Dizüstü BilgisayarEn Ucuz32.796,59 TLTEK FİYAT",32796.59
"Lenovo V15 83A100QRTR ATL23 i7-13620H 40 GB 2 TB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz45.095,73 TLTEK FİYAT",45095.73
"Lenovo V15 83A100QRTR ATL15 i7-13620H 16 GB 512 GB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz30.245,03 TLTEK FİYAT",30245.03
"Lenovo V15 83A100QRTR ATL18 i7-13620H 24 GB 512 GB M.2 SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz32.884,57 TLTEK FİYAT",32884.57
"Lenovo Ideapad Slım 3 83K20077TR I5-13420H 24 GB Ram 2tb SSD Windows 11 Pro K24 - 2 TBEn Ucuz44.739,19 TLTEK FİYAT",44739.19
"Lenovo Nb E16 Thinkpad 21SR006WTX Ultra 7 255H 24 GB Ram 1 Tb SSD Windows 11 Pro K16En Ucuz66.960,64 TLTEK FİYAT",66960.64
"Lenovo Nb E16 Thinkpad 21SR006WTX Ultra 7 255H 64 GB Ram 2 Tb SSD Freedos K41En Ucuz77.626,93 TLTEK FİYAT",77626.93
"Lenovo Thinkpad E16 21SR0076TX Ultra 7 265U 48GB Ram 512GB SSD Freedos K31 - 512 GB - 48 GBEn Ucuz62.812,63 TLTEK FİYAT",62812.63
"Lenovo E14 Thinkpad 21SX007FTX Ultra 7 255H 8gb Ram 2tb SSD Windows 11 Pro K6 - 2 TB - 8 GBEn Ucuz68.679,09 TLTEK FİYAT",68679.09
"Lenovo E14 Thinkpad 21SX007HTX Ultra 7 255H 32GB Ram 1tb SSD Freedos K21 - 1 TB - 32 GBEn Ucuz72.827,10 TLTEK FİYAT",72827.1
"Lenovo V15 83A100QRTR I7-13620H 24 GB Ram 512 GB SSD 15.6 Freedos K13En Ucuz42.013,35 TLTEK FİYAT",42013.35
"Hp 255 G10 Ryzen 5 7530U 32 GB 1 Tb SSD 15.6"" Windows 11 Home 9G1G0ET K47En Ucuz50.072,33 TLTEK FİYAT",50072.33
"Lenovo Ideapad Slım 3 83K1004ETR I5-13420H 24 GB Ram 512GB SSD Freedos K19 - 512 GBEn Ucuz31.702,60 TLTEK FİYAT",31702.6
"Lenovo Nb E16 Thinkpad 21SR006UTX Ultra 7 255H 16 GB Ram 512 GB SSD Freedos K7En Ucuz63.997,78 TLTEK FİYAT",63997.78
"Lenovo Ideapad Slım 3 83K10012TR I5-13420H 8 GB Ram 512GB SSD Freedos K1 - 512 GBEn Ucuz25.184,31 TLTEK FİYAT",25184.31
"Lenovo V14 G4 83A000GDTR I7-13620H 48GB Ram 1tb SSD 14"" Fhd Windows 11 Pro K34 - 1 TB - 48 GBEn Ucuz60.975,66 TLTEK FİYAT",60975.66
"Lenovo Ideapad Slım 3 83K1004ETR I5-13420H 24 GB Ram 2tb SSD Freedos K23 - 2 TBEn Ucuz41.776,33 TLTEK FİYAT",41776.33
"Lenovo Thinkpad E16 21SR0076TX Ultra 7 265U 8gb Ram 1tb SSD Freedos K3 - 1 TB - 8 GBEn Ucuz55.109,20 TLTEK FİYAT",55109.2
"Lenovo Ideapad Slım 3 83K20008TR I5-13420H 24 GB Ram 1tb SSD Windows 11 Pro K22 - 1 TBEn Ucuz41.183,75 TLTEK FİYAT",41183.75
"Lenovo Ideapad Slım 3 83K10012TR I5-13420H 24 GB Ram 1tb SSD Windows 11 Pro K22 - 1 TBEn Ucuz41.183,75 TLTEK FİYAT",41183.75
"Lenovo Nb E16 Thinkpad 21SR006WTX Ultra 7 255H 16 GB Ram 2 Tb SSD Freedos K11En Ucuz68.442,07 TLTEK FİYAT",68442.07
